id,download_url,project_name,city,category,theme,duration,quota,description
K-10-1,https://twpathfinder.org/overview_d/558,極島生存：數據守護戰,吐瓦魯富納富提,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,氣候調適與數位服務,115 年 8 月 31 日至 11 月 19 日，共計 81 日（不含飛行日）,1,運用數位技術為吐瓦魯建立「數位國家」，在氣候危機中透過雲端數據與網絡，守護島嶼的永續未來。
K-10-2,https://twpathfinder.org/overview_d/559,極地守護：島嶼加固行動,吐瓦魯富納富提,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,氣候調適與數位服務,115 年 8 月 31 日至 11 月 19 日，共計 81 日（不含飛行日）,1,挑戰海平面上升！深入吐瓦魯內政部，結合環境工程與數位監測，親手設計並執行關鍵的氣候調適計畫。
K-10-4,https://twpathfinder.org/overview_d/572,智庫探險隊,法國巴黎,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,台法鏈結與科技地緣戰略,暫定 115 年 9 月 1 日至 12 月 19 日，共計 1 個月（不含飛行日）,1,深入 IFRI 核心！第一線接待各國大咖、撰寫研析，從法國視角看 AI 與半導體如何左右全球棋局
K-10-5,https://twpathfinder.org/overview_d/573,眾神圖鑑：數位收藏家,義大利羅馬梵蒂岡,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,跨宗教文獻典藏,115 年 9 月 1 日至 10 月 31 日，共計 61 天（不含飛行日）,1,深入教會秘境，將紙本古籍轉生為數位目錄，透過網頁設計與活動策劃，讓各界跨越藩籬、對話無礙。
K-10-6,https://twpathfinder.org/overview_d/560,野境探索,貝里斯貝里斯市、貝爾墨潘,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,生態保育與組織經營,115 年 9 月 1 日至 9 月 30 日，共計 30 日（不含飛行日）,1,深入 BAS 總部與國家公園，運用數據專長重塑會員制度，在雨林與辦公室間跨界守護豐富生態資產。
K-10-7,https://twpathfinder.org/overview_d/561,竹構未來：創意實習家,瓜地馬拉瓜地馬拉市,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,永續旅遊與跨文化溝通,115 年 9 月 5 日至 10 月 4 日間，共計 30 日（含飛行日）,1,結合建築美學與觀光政策！協助瓜國觀光局開發旅遊產品，在實作中磨練跨文化溝通，打造永續旅遊新視野。
K-10-8,https://twpathfinder.org/overview_d/574,巴拉圭科技冒險王,巴拉圭,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,台巴智慧園區實戰轉型,115 年 9 月 1 日至 9 月 30 日，共計 30 日（含飛行日）,2,踏上南美洲，直擊智慧園區心臟！透過科技研發與產業對接，讓你從青年學子蛻變為跨國合作的實戰領袖。
K-10-10,https://twpathfinder.org/overview_d/562,巴拉圭：智慧蘭花特攻,巴拉圭盧克,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,智慧溫室與數位行銷,115 年 9 月 1 日至 10 月 30 日，共計 60 日（不含飛行日）,2,前進巴國最大蘭花商，操作智慧環控系統、設計數位通路，將臺灣科技力轉化為南美的優雅商機。
K-10-11,https://twpathfinder.org/overview_d/563,醫療E時代,巴拉圭亞松森,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,翻轉巴拉圭數位醫療,115 年 9 月 1 日至 10 月 30 日，共計 60 日（不含飛行日）,2,深入巴拉圭衛福部，第一線參與 HIS 系統建置。從技術開發到醫院推廣，用資訊力為外交外交貢獻。
K-10-12,https://twpathfinder.org/overview_d/564,智繪瓜國：科技圓夢領航員,瓜地馬拉市及其他省分,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,跨海點亮科學夢,115 年 9 月 5 日至 10 月 4 日間，共計 30 日（含飛行日）,5,攜手瓜國科技局，深入各級學校科學俱樂部，以教學分享與活動策展，將臺灣科技實力轉化為國際影響力。
K-10-13,https://twpathfinder.org/overview_d/565,智繪未來城市拓荒者,智利,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,建構智利智慧城市指標,暫定 115 年 9 月 1 日至 11 月 26 日，共計 87 日（含飛行日）,2,走訪當地產學研單位，整合物聯網與能源管理分析，定義關鍵 KPI 並制定長期穩定之智慧城市發展策略。
K-10-14,https://twpathfinder.org/overview_d/575,智利醫起拼：數位連線,智利,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,跨國智慧醫療實習,暫定 115 年 9 月 1 日至 11 月 26 日，共計 87 日（含飛行日）,2,舉辦線上共創工作坊，並規劃智利市府官員赴台實習，透過技術說明書與實地培訓，實踐雙邊醫療深度連結。
K-10-15,https://twpathfinder.org/overview_d/576,Youth+不設限,聖露西亞卡斯翠,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,聖露西亞青年經濟實務,115 年 9 月 1 日至 11 月 30 日期間（其中1個月，不含飛行日）。,1,深入熱帶島國，學習國家級青年發展策略，與當地夥伴共創具影響力的經濟專案，實踐國際交流。
K-10-16,https://twpathfinder.org/overview_d/566,加勒比海島嶼行銷大使,聖文森、格瑞那丁,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,加勒比海景點升級與全球行銷,115 年 7 月 1 日至 12 月 15 日，共計 168 日（不含飛行日）,1,深入聖國觀光部，親手參與景點改造與國際推廣，在加勒比海實踐你的旅遊藍圖，公私協力翻轉海島觀光！
K-10-17,https://twpathfinder.org/overview_d/577,解題特工組：聖地行動,聖文森、格瑞那丁,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,數理思維與邏輯實戰方案,115 年 7 月 1 日至 12 月 15 日，共計 168 日（不含飛行日）,2,任務代號：數理突破！由專業團隊深入課後輔導前線，協助 6-11 年級學生擊破學業痛點，建立自信與競爭力。
K-10-18,https://twpathfinder.org/overview_d/567,巴國築夢：數位權利遠征,巴拉圭亞松森,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,守護拉美網路自由,115 年 9 月 1 日至 10 月 30 日，共計 60 日（不含飛行日）,2,進駐巴國頂尖組織 TEDIC，深入研究法規與技術，親手籌辦國際研討會，在南美洲開啟數位正義的職涯新視野。
K-10-20,https://twpathfinder.org/overview_d/568,野生守護者,史瓦帝尼,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,見證史國保育奇蹟,115 年 9 月 14 日至 10 月 16 日，共計 33 日（不含飛行日）,1,前進非洲之心，攜手 Big Game Parks 守護瀕危犀牛與獅群。從國家公園經營到防範盜獵，親歷第一線野性現場。
K-10-21,https://twpathfinder.org/overview_d/569,史國援外公衛行動家,史瓦帝尼,★年度旗艦計畫　　　　　　　　　　　　榮邦計畫：青年國際科技交流,深入史瓦帝尼公衛前線,115 年 9 月 14 日至 10 月 16 日，共計 33 日（不含飛行日）,1,攜手 Young Heroes 深入史國，從社區篩檢到大數據防疫，用五週時間見習國際援助，翻轉愛滋防疫新視野！
I-1-1,https://twpathfinder.org/overview_d/570,中歐教育論壇實戰,斯洛伐克布拉提斯拉瓦,(一)國際組織、基金會、智庫見習,中歐教育論壇現場實戰與技能培訓,115 年 9 月 2 日至 11 月 22 日，共計 82 天（含飛行日）,1,參與中歐教育論壇實務，透過12週深度行政與現場協作，掌握NGO管理、政策倡議及數據分析等專業技能。
