id,download_url,project_name,city,category,theme,duration,quota,description
IJ-1-1,https://twpathfinder.org/overview_d/707,北美文化交流體驗工作坊,美國洛杉磯,(一)國際組織、基金會、智庫見習,美國現場文化深度理解,115 年 7 月 7 日至 7 月 24 日，共計 18 日（含飛行日）,10,洛杉磯地景實地走訪！透過博物館與社區參訪，帶你拆解美國多族裔社會運作，並與臺灣社會進行趣味比對。
IJS-1-1,https://twpathfinder.org/overview_d/708,北美文化交流體驗工作坊（圓夢助力方案）,美國洛杉磯,💫圓夢助力方案,美國現場文化深度理解,115 年 7 月 7 日至 7 月 24 日，共計 18 日（含飛行日）,10,洛杉磯地景實地走訪！透過博物館與社區參訪，帶你拆解美國多族裔社會運作，並與臺灣社會進行趣味比對。
IJ-1-2,https://twpathfinder.org/overview_d/709,加拿大水文偵探行動,加拿大滑鐵盧市,(一)國際組織、基金會、智庫見習,AI監測與科學實證,115 年 7 月 6 日至 7 月 24 日，共計 19 日（含飛行日）,15,直擊滑鐵盧大學頂尖實驗室！結合AI監測與大數據，解鎖極端氣候下的水資源密碼。從數據識讀到原民生態智慧，即刻化身守護地球的跨域科學菁英。
IJ-2-1,https://twpathfinder.org/overview_d/710,文化創生實驗交流,泰國孔敬,(二)青年議會及領袖交流,科學引路社區的創生實驗,115 年 7 月 6 日至 7 月 21 日，共計 16 天（含飛行日）,8,帶領高中生跨國交流，直擊大學科學教室結合社區。在跨文化體驗中，培養青年服務精神與地方創生能量。
IJS-2-1,https://twpathfinder.org/overview_d/711,文化創生實驗交流（圓夢助力方案）,泰國孔敬,💫圓夢助力方案,科學引路社區的創生實驗,115 年 7 月 6 日至 7 月 21 日，共計 16 天（含飛行日）,8,帶領高中生跨國交流，直擊大學科學教室結合社區。在跨文化體驗中，培養青年服務精神與地方創生能量。
IJ-2-2,https://twpathfinder.org/overview_d/712,啟航國際青年領袖培訓營,美國費城市,(二)青年議會及領袖交流,培養領袖力、增廣國際視野,115年7月25日至8月10日，共17天（含飛行日）,8,前進費城接軌國際！透過外交與領袖培訓，並深入美國校園實習，帶領當地學生跨文化交流，實踐台美共學。
IJ-3-1,https://twpathfinder.org/overview_d/713,北美國際金融菁英航路,加拿大安大略省,(三)新創團隊及職能培力,從校園到產業現場，建構數位金融競爭力,暫定 115 年 10 月 17 日至 11 月 7 日，共計 21 天（含飛行日）,20,赴加實地體驗金融科技與外交運作。從多倫多大學到知名新創，透過沉浸式學習，接軌國際產學趨勢，圓夢未來。
IJ-3-2,https://twpathfinder.org/overview_d/714,地球生存戰：防災素養進化論,日本東京、筑波市、橫濱、川崎、山梨縣,(三)新創團隊及職能培力,跨域防災與未來領袖培力,115 年 8 月 15 日至 8 月 29 日，共計 15 日（含飛行日）,16,透過國際交流與情境模擬，將防災化為生存實戰；在跨域協作中鍛鍊系統思維，助你連結世界、定義未來方向。
IJ-4-1,https://twpathfinder.org/overview_d/715,楓原秘境文化冒險,加拿大卑詩省,(四)青年地方創生及社區機構,跨越太平洋的原民文化對話,暫定 115 年 7 月 15 日至 8 月 9 日，共計 26 日（含飛行日）,10,從淨煙儀式到現代藝術展現，我們在維多利亞與溫哥華之間，透過雙手與心靈，寫下兩地青年的文化新篇章。
IJS-4-1,https://twpathfinder.org/overview_d/716,楓原秘境文化冒險（圓夢助力方案）,加拿大卑詩省,💫圓夢助力方案,跨越太平洋的原民文化對話,暫定 115 年 7 月 15 日至 8 月 9 日，共計 26 日（含飛行日）,10,從淨煙儀式到現代藝術展現，我們在維多利亞與溫哥華之間，透過雙手與心靈，寫下兩地青年的文化新篇章。
IJ-4-2,https://twpathfinder.org/overview_d/717,紐轉視界 毛利文化交流,紐西蘭,(四)青年地方創生及社區機構,地方創生學習,115 年 8 月 5 日至 8 月 22 日，共計 18 日（含飛行日）,8,透過國際交流與文化教室，了解社區運作並培養青年地方創生能力。
IJS-4-2,https://twpathfinder.org/overview_d/718,紐轉視界 毛利文化交流（圓夢助力方案）,紐西蘭,💫圓夢助力方案,地方創生學習,115 年 8 月 5 日至 8 月 22 日，共計 18 日（含飛行日）,8,透過國際交流與文化教室，了解社區運作並培養青年地方創生能力。
IJ-4-3,https://twpathfinder.org/overview_d/719,創生少年日行文化之旅,日本1.千葉縣千葉市2.岐阜縣飛驒市3.大阪府門真市4.熊本縣阿蘇郡南小國町,(四)青年地方創生及社區機構,日本創生實務觀察之旅,115 年 7 月 14 日至 8 月 4 日，共計 22 天（含飛行日）,8,攜手日本大學與政府，開啟一場集走讀、創生與文化研究的熱血見習，讓高中生在跨國實踐中定義未來價值。
IJS-4-3,https://twpathfinder.org/overview_d/720,創生少年日行文化之旅（圓夢助力方案）,日本1.千葉縣千葉市2.岐阜縣飛驒市3.大阪府門真市4.熊本縣阿蘇郡南小國町,💫圓夢助力方案,日本創生實務觀察之旅,115 年 7 月 14 日至 8 月 4 日，共計 22 天（含飛行日）,8,攜手日本大學與政府，開啟一場集走讀、創生與文化研究的熱血見習，讓高中生在跨國實踐中定義未來價值。
IJ-4-4,https://twpathfinder.org/overview_d/721,創造未來的旅程,日本南三陸町,(四)青年地方創生及社區機構,日本災後地方創生成果,暫定 115 年 7 月 28 日至 8 月 11 日間，共計 15 日（含飛行日）,15,從南三陸出發，將防災、地方創生與觀光的「實踐智慧」帶向世界。
IJ-4-5,https://twpathfinder.org/overview_d/722,臺日連線家鄉翻轉,日本京都府 、京都市、美山町、宮津市等,(四)青年地方創生及社區機構,地方創生與文化觀察,115 年 7 月 30 日至 8 月 12 日，共計 14 天（含飛行日）,20,從基隆到日本伊根蹲點，透過五感觀察與實踐，將日系創生經驗帶回，為家鄉注入新靈魂！
